name,address,lat,lon
,"10645 EAST RD BURT, MI 48417",43.26634,-83.94916
,"11105 DIXIE HWY BIRCH RUN, MI 48415",43.26345,-83.77845
,"1175 M-15 REESE, MI 48757",43.42319,-83.71285
,"16020 PEET RD OAKLEY, MI 48649",43.17269,-84.22801
,"11012 S HEMLOCK RD BRANT, MI 48614",43.25878,-84.22946
,"491 N. RUTH RD CARSONVILLE, MI 48419",43.43889,-82.73246
,"1160 S. OUTER DRIVE SAGINAW, MI 48601",43.41592,-83.89554
,"1940 S OUTER DRIVE SAGINAW, MI 48601",43.40842,-83.89491
,"1645 MAPLERIDGE SAGINAW, MI 48604",43.46651,-83.9392
,"3055 HARRISON SAGINAW, MI 48604",43.45023,-83.94755
,"21481 PEET RD HENDERSON, MI 48841",43.17172,-84.33527
,"1025 W. BRADY STREET CHESANING, MI 48616",43.18747,-84.12675
,"1632 W. BRADY STREET CHESANING, MI 48616",43.18981,-84.13566
,"240 W GENESEE ST FRANKENMUTH, MI 48734",43.33615,-83.74104
,"218 W GENESEE ST FRANKENMUTH, MI 48734",43.33605,-83.74044
,"5980 S HEMLOCK RD HEMLOCK, MI 48626",43.33431,-84.22939
,"6060 SWAN CREEK RD SAGINAW, MI 48609",43.38017,-84.03561
,"217 EDDY ST MERRILL, MI 48637",43.41101,-84.33325
,"3265 KOCHVILLE ROAD SAGINAW, MI 48604",43.49372,-83.97819
,"21050 LAKEFIELD RD MERRILL, MI 48637",43.34683,-84.33066
,"26344 COUNTY ROAD 98 MCMILLAN, MI 49853",46.27438,-85.7676
,"4017 PEET RD CHESANING, MI 48616",43.17529,-83.98984
,"1180 N. HEMLOCK RD. HEMLOCK, MI 48626",43.42435,-84.22969
,"3100 WEBBER SAGINAW, MI 48601",43.40457,-83.92505
,"3121 SHERIDAN AVE. SAGINAW, MI 48601",43.39798,-83.93719
,"2415 N CHARLES SAGINAW, MI 48602",43.44084,-83.96856
,"1903 N NIAGARA SAGINAW, MI 48602",43.43277,-83.94502
,"535 CATHAY SAGINAW, MI 48601",43.43778,-83.91081
,"500 N WASHINGTON AVE SAGINAW, MI 48607",43.43824,-83.93647
,"1915 FORDNEY ST SAGINAW, MI 48601",43.41104,-83.96269
,"3427 ADAMS AVE SAGINAW, MI 48602",43.43141,-83.99166
,"1300 MALZAHN ST SAGINAW, MI 48602",43.42661,-83.9885
,"1800 GROUT SAGINAW, MI 48602",43.39879,-83.98736
,"121 S HARRISON SAGINAW, MI 48602",43.41869,-83.96674
,"2665 MIDLAND RD SAGINAW, MI 48603",43.44661,-84.05686
,"6171 SHATTUCK RD SAGINAW, MI 48603",43.45094,-84.03816
,"6400 MCCARTY RD SAGINAW, MI 48603",43.46675,-84.04227
,"2136 BERBEROVICH SAGINAW, MI 48603",43.43877,-84.02059
,"3100 N CENTER RD SAGINAW, MI 48603",43.45285,-84.01433
,"3320 N CENTER RD SAGINAW, MI 48603",43.45576,-84.01388
,"4645 WEISS SAGINAW, MI 48603",43.44298,-84.00835
,"2525 HEMMETER RD SAGINAW, MI 48603",43.44429,-84.00559
,"1890 HEMMETER RD SAGINAW, MI 48638",43.43523,-84.00423
,"705 S CENTER RD SAGINAW, MI 48638",43.41018,-84.01265
,"155 N CENTER RD SAGINAW, MI 48603",43.41659,-84.01531
,"2775 SHATTUCK RD SAGINAW, MI 48603",43.45044,-83.97137
,"3211 MCCARTY RD SAGINAW, MI 48603",43.46494,-83.97968
,"4735 W MICHIGAN SAGINAW, MI 48638",43.39984,-84.00947
,"4790 GRATIOT RD SAGINAW, MI 48638",43.41619,-84.01055
,"5825 COLE RD SAGINAW, MI 48601",43.33884,-83.94371
,"1003 N SAGINAW ST SAINT CHARLES, MI 48655",43.30374,-84.14413
,"110 WEST SPRUCE SAINT CHARLES, MI 48655",43.30049,-84.14012
,"11415 LAKEFIELD RD ST CHARLES, MI 48655",43.35055,-84.13913
,"4343 E BIRCH RUN RD BIRCH RUN, MI 48415",43.25057,-83.8668
,"9970 DICE ROAD FREELAND, MI 48623",43.46686,-84.11109
,"8215 SHIELDS DR SAGINAW, MI 48609",43.41856,-84.0755
,"355 N MILLER ROAD SAGINAW, MI 48609",43.41845,-84.07194
,"8207 SHIELDS DRIVE SAGINAW, MI 48609",43.41829,-84.07397
,"5690 MIDLAND ROAD FREELAND, MI 48623",43.4917,-84.09664
,"319 TITTABAWASSEE SAGINAW, MI 48604",43.47912,-83.92046
,"6189 SHERMAN RD SAGINAW, MI 48604",43.49537,-83.92767
