Unnamed: 0,name,address,lat,lon
1,,"4280 BAY CITY FORESTVILLE ROAD UNIONVILLE, MI 48767",43.65226,-83.51842
2,,"1310 CAMERON RD CARO, MI 48723",43.5048,-83.37762
3,,"8935 BIRCH RUN RD. MILLINGTON, MI 48746",43.25089,-83.65709
4,,"317 S STATE ST CARO, MI 48723",43.48709,-83.39852
5,,"6456 CENTER ST UNIONVILLE, MI 48767",43.65278,-83.4659
6,,"53053 CR 388 GRAND JUNCTION, MI 49056",42.40394,-86.06335
7,,"3215 S STONE RD FREMONT, MI 49412",43.49593,-85.96018
8,,"4879 HURDS CORNER RD MAYVILLE, MI 48744",43.37086,-83.28361
9,,"9386 W SAGINAW RD RICHVILLE, MI 48758",43.40888,-83.67533
10,,"4533 VETERANS DR CASS CITY, MI 48726",43.60111,-83.18133
11,,"6437 LINCOLN ST GAGETOWN, MI 48735",43.65157,-83.24618
12,,"10090 E. LINCOLN RD TRAVERSE CITY, MI 49684",44.79739,-85.65331
13,,"10750 E. CHERRY BEND RD TRAVERSE CITY, MI 49684",44.79315,-85.63839
14,,"5002 CENTER ST. FAIRGROVE, MI 48733",43.52375,-83.54368
15,,"4850 MERTZ ROAD MAYVILLE, MI 48744",43.36876,-83.38375
16,,"6230 W GILFORD RD FAIRGROVE, MI 48733",43.49461,-83.5915
17,,"1633 MERTZ RD. CARO, MI 48723",43.46334,-83.38541
18,,"1971 S RINGLE RD VASSAR, MI 48768",43.45284,-83.5221
19,,"5943 HOWARD ST DEFORD, MI 48729",43.46408,-83.18918
20,,"3655 ROSS ST KINGSTON, MI 48741",43.4098,-83.18619
21,,"8705 STATE ST MILLINGTON, MI 48746",43.27548,-83.52962
22,,"3016 N. CEMETERY RD. CASS CITY, MI 48726",43.57182,-83.17305
23,,"8561 VAN CLEVE RD VASSAR, MI 48768",43.32815,-83.65192
24,,"287 E HURON AVE VASSAR, MI 48768",43.37093,-83.57984
25,,"5450 W SAGINAW RD VASSAR, MI 48768",43.36717,-83.56018
26,,"2190 FRANKFORD ROAD CARO, MI 48723",43.47904,-83.33417
27,,"7894 M-25 AKRON, MI 48701",43.60106,-83.62043
