Unnamed: 0,name,address,lat,lon
1,,"1444 KENT STREET CARLETON, MI 48117",42.0584,-83.39392
2,,"1677 READY ROAD CARLETON, MI 48117",42.04048,-83.32896
3,,"8330 LEWIS AVENUE TEMPERANCE, MI 48182",41.76761,-83.56519
4,,"8970 JACKMAN RD TEMPERANCE, MI 48182",41.7784,-83.58693
5,,"1590 W. TEMPERANCE TEMPERANCE, MI 48182",41.77939,-83.58386
6,,"1690 W STERNS RD TEMPERANCE, MI 48182",41.75055,-83.58602
7,,"8165 DOUGLAS RD LAMBERTVILLE, MI 48144",41.76356,-83.60741
8,,"8575 JACKMAN RD TEMPERANCE, MI 48182",41.77098,-83.58852
9,,"2843 W STERNS RD LAMBERTVILLE, MI 48144",41.74889,-83.61393
10,,"8702 DOUGLAS ROAD TEMPERANCE, MI 48182",41.77335,-83.60176
11,,"3619 W STERNS RD LAMBERTVILLE, MI 48144",41.74883,-83.63175
12,,"9505 BRANDON ROAD NEWPORT, MI 48166",42.01734,-83.29924
13,,"12226 N. DIXIE HWY. SOUTH ROCKWOOD, MI 48179",42.05526,-83.26164
14,,"7194 LAKEVIEW NEWPORT, MI 48166",41.98712,-83.24086
15,,"8473 SWAN CREEK RD. NEWPORT, MI 48166",42.0,-83.30114
16,,"82O DUNDEE AZALIA RD. DUNDEE, MI 48131",41.9799,-83.65508
17,,"2065 ERIE RD ERIE, MI 48133",41.79354,-83.49836
18,,"6333 SUMMIT ST ERIE, MI 48133",41.73538,-83.48054
19,,"6158 SCOFIELD ROAD MAYBEE, MI 48159",42.0216,-83.48369
20,,"11120 SUMPTER ROAD MAYBEE, MI 48159",42.03512,-83.47532
21,,"7447 N TELEGRAPH RD MONROE, MI 48162",41.98536,-83.37078
22,,"2744 VIVIAN RD MONROE, MI 48162",41.95087,-83.36483
23,,"2881 NADEAU RD MONROE, MI 48162",41.94772,-83.31856
24,,"5707 WILLIAMS RD NEWPORT, MI 48166",41.95936,-83.31038
25,,"2420 N. DIXIE HWY MONROE, MI 48162",41.93322,-83.3346
26,,"2786 VIVIAN ROAD MONROE, MI 48162",41.95065,-83.36486
27,,"3016 LEWIS AVE IDA, MI 48140",41.90819,-83.5745
28,,"4109 LAPLAISANCE RD LASALLE, MI 48145",41.86718,-83.45164
29,,"13613 TUTTLEHILL ROAD MILAN, MI 48160",42.07069,-83.58607
30,,"4268 LUNA PIER ROAD LUNA PIER, MI 48157",41.80941,-83.4445
31,,"45 NECKEL CT MILAN, MI 48160",42.08133,-83.68333
32,,"16444 CONE RD MILAN, MI 48160",42.03375,-83.68335
33,,"630 N. MONROE STREEET MONROE, MI 48162",41.92517,-83.39198
34,,"1111 W. ELM AVENUE MONROE, MI 48162",41.92237,-83.4114
35,,"1602 N. CUSTER ROAD MONROE, MI 48162",41.92534,-83.41741
36,,"800 WEST SEVENTH STREET MONROE, MI 48161",41.91549,-83.41115
37,,"201 S MONROE ST MONROE, MI 48161",41.91427,-83.39876
38,,"1135 E SECOND STREET MONROE, MI 48161",41.90849,-83.38487
39,,"4141 E FILLMORE AVE WHITE CLOUD, MI 49349",43.66732,-85.69743
40,,"4925 E DUNBAR RD MONROE, MI 48161",41.90538,-83.43794
41,,"5305 EVERGREEN DR MONROE, MI 48161",41.90641,-83.42658
42,,"14260 S DIXIE HWY MONROE, MI 48161",41.87418,-83.4374
43,,"24 EAST CENTER STREET PETERSBURG, MI 49270",41.90089,-83.71445
44,,"96 IDA MAYBEE ROAD MONROE, MI 48161",41.96095,-83.5488
45,,"9971 N FINLEY LAKE AVENUE HARRISON, MI 48625",44.06018,-84.88926
46,,"26 SALINE STREET PETERSBURG, MI 49270",41.90172,-83.71515
47,,"5790 WEST TEMPERANCE ROAD OTTAWA LAKE, MI 49267",41.77727,-83.68246
