,osm_id,code,fclass,name,point_x,point_y,lon,lat
0,3466305196,2002,fire_station,City of Eaton Rapids Fire Department,-84.6552870000,42.5136374000,-84.65529,42.51364
1,3466305198,2008,town_hall,Eaton Rapids City Hall,-84.6561419000,42.5114264000,-84.65614,42.51143
2,3466305201,2005,post_office,,-84.6555256000,42.5104679000,-84.65553,42.51047
3,4457287010,2002,fire_station,Eatonrapids Fire Department,-84.6607870000,42.5135973000,-84.66079,42.5136
4,6753729101,2008,town_hall,Hamlin Township,-84.6589321000,42.4730355000,-84.65893,42.47304
5,1719794964,2002,fire_station,,-84.6624871000,42.7424858000,-84.66249,42.74249
6,6858364097,2005,post_office,United States Post Office,-84.6230264000,42.7445612000,-84.62303,42.74456
7,7346564561,2008,town_hall,Grand Ledge City Hall,-84.7398762000,42.7556626000,-84.73988,42.75566
8,7346603739,2001,police,City of Grand Ledge Police Department,-84.7406466000,42.7553387000,-84.74065,42.75534
9,5734723347,2008,town_hall,Dimondale Village Office,-84.6481429000,42.6462594000,-84.64814,42.64626
10,367813426,2002,fire_station,Harbor Springs Fire Department,-84.9775000000,42.4313889000,-84.9775,42.43139
11,5757553851,2001,police,Charlotte police,-84.8351968000,42.5645004000,-84.8352,42.5645
12,5757553852,2002,fire_station,Charlotte fire station,-84.8349980000,42.5643465000,-84.835,42.56435
