name,address,lat,lon
,"576 LOVE RD BELLEVUE, MI 49021",42.45101,-85.02296
,"5012 ORCHARD BEACH ROAD CHEBOYGAN, MI 49721",45.55618,-84.38837
,"5136 WINDSOR HWY POTTERVILLE, MI 48876",42.64728,-84.7374
,"8380 BROOKFIELD RD CHARLOTTE, MI 48813",42.44491,-84.7976
,"661 BEECH HWY CHARLOTTE, MI 48813",42.57859,-84.84869
,"111 E. LAWRENCE AVE. CHARLOTTE, MI 48813",42.56433,-84.83504
,"911 W SHEPHERD CHARLOTTE, MI 48813",42.55287,-84.85492
,"436 W. HARRIS CHARLOTTE, MI 48813",42.56526,-84.84119
,"4785 MULLIKEN ROAD CHARLOTTE, MI 48813",42.63977,-84.89591
,"7550 W. WILLOW LANSING, MI 48917",42.75599,-84.66087
,"7533 W. ST. JOE LANSING, MI 48917",42.72536,-84.66113
,"811 N. CANAL LANSING, MI 48917",42.74249,-84.66254
,"1000 S. CANAL LANSING, MI 48917",42.72203,-84.66396
,"7910 E. ST. JOSEPH HIGHWAY LANSING, MI 48917",42.7259,-84.68394
,"6301 W. ST. JOSEPH HIGHWAY LANSING, MI 48917",42.72614,-84.641
,"202 S. CREYTS LANSING, MI 48917",42.7326,-84.64481
,"5250 CORNERSTONE LANSING, MI 48917",42.71856,-84.62453
,"4437 W. WILLOW HIGHWAY LANSING, MI 48917",42.7476,-84.61234
,"1519 ELMWOOD ROAD LANSING, MI 48917",42.75162,-84.62347
,"5130 DAVENPORT DRIVE LANSING, MI 48917",42.74768,-84.62069
,"4538 ELIZABETH ROAD LANSING, MI 48917",42.74524,-84.61414
,"7832 W. MT. HOPE HWY. GRAND LEDGE, MI 48837",42.7131,-84.66675
,"5211 W. ST. JOSEPH LANSING, MI 48917",42.72591,-84.62379
,"101 LINE ST EATON RAPIDS, MI 48827",42.5137,-84.66069
,"2029 S. MICHIGAN ROAD EATON RAPIDS, MI 48827",42.53783,-84.63291
,"3981 E CLINTON TRAIL CHARLOTTE, MI 48813",42.5529,-84.75885
,"220 LAMSON ST GRAND LEDGE, MI 48837",42.74965,-84.74845
,"6463 S CLINTON TRAIL EATON RAPIDS, MI 48827",42.47309,-84.65895
,"3775 N. JEBAVY LUDINGTON, MI 49431",44.02419,-86.42034
,"8960 SPORE HWY VERMONTVILLE, MI 49096",42.54275,-85.00987
,"117 S. MAIN ST. OLIVET, MI 49076",42.44624,-84.92377
,"11041 ONEIDA ROAD GRAND LEDGE, MI 48837",42.72705,-84.77957
,"319 N. NELSON POTTERVILLE, MI 48876",42.62887,-84.74426
,"100 IONIA ST MULLIKEN, MI 48861",42.76226,-84.89478
,"162 MAIN ST SUNFIELD, MI 48890",42.76269,-84.99343
,"125 W FIRST ST VERMONTVILLE, MI 49096",42.62729,-85.02509
,"6933 S. STINE ROAD OLIVET, MI 49076",42.5086,-84.89504
,"162 N BRIDGE DIMONDALE, MI 48821",42.64559,-84.64887
,"300 W JEFFERSON DIMONDALE, MI 48821",42.64628,-84.65376
,"300 OAK ST DIMONDALE, MI 48821",42.64576,-84.65513
