lat,lon
44.72605,-85.63976
44.72598,-85.63472
44.7352,-85.63416
44.74094,-85.63121
44.74774,-85.63001
44.74732,-85.63305
44.74494,-85.6324
44.74567,-85.63435
44.74558,-85.63816
44.7516,-85.62896
44.7533,-85.62359
44.75486,-85.62367
44.75717,-85.62369
44.76042,-85.6237
44.76413,-85.62454
44.76415,-85.62631
44.76518,-85.62802
44.76278,-85.62519
44.76039,-85.62388
44.75674,-85.62385
44.75443,-85.62382
44.75338,-85.6239
44.75175,-85.62944
44.74526,-85.63776
44.74785,-85.6302
44.74073,-85.63215
44.72838,-85.61392
44.72058,-85.60552
44.72333,-85.60545
44.72757,-85.60535
44.73514,-85.60546
44.73969,-85.60541
44.74196,-85.60539
44.74476,-85.60539
44.7478,-85.60536
44.75148,-85.60544
44.75521,-85.6053
44.75691,-85.60739
44.75893,-85.59994
44.7595,-85.61431
44.75949,-85.61747
44.76044,-85.62093
44.76419,-85.62131
44.76415,-85.62454
44.76416,-85.62631
44.76281,-85.62296
44.7603,-85.62108
44.7593,-85.61776
44.75931,-85.61537
44.7588,-85.59971
44.75698,-85.60774
44.75515,-85.60564
44.75133,-85.60576
44.74762,-85.60562
44.74443,-85.60568
44.74177,-85.60563
44.73939,-85.60568
44.73537,-85.60571
44.72817,-85.60577
44.72324,-85.60598
44.72052,-85.60576
44.72606,-85.63976
44.73123,-85.64958
44.74456,-85.64424
44.73646,-85.65416
44.7473,-85.67718
44.76002,-85.65162
44.76101,-85.65441
44.75776,-85.65244
44.758,-85.64934
44.76211,-85.64293
44.76372,-85.64288
44.76395,-85.63608
44.76415,-85.6325
44.76395,-85.63321
44.7641,-85.63624
44.76368,-85.64311
44.76198,-85.64315
44.75828,-85.64957
44.72607,-85.63976
44.73335,-85.62638
44.73328,-85.62064
44.73312,-85.61726
44.72817,-85.60577
44.7243,-85.60574
44.72052,-85.60576
44.72613,-85.5974
44.73026,-85.59609
44.73027,-85.60053
44.72991,-85.60145
44.7361,-85.59511
44.74484,-85.59548
44.74734,-85.5955
44.75213,-85.59264
44.75698,-85.59518
44.7598,-85.59517
44.76318,-85.59512
44.76408,-85.59369
44.7652,-85.58753
44.76432,-85.58966
44.76283,-85.59541
44.75963,-85.59542
44.75704,-85.59543
44.75202,-85.59293
44.74742,-85.59513
44.74537,-85.59516
44.72058,-85.60552
44.7232,-85.60548
44.72757,-85.60535
44.73366,-85.61759
44.76026,-85.62107
44.75708,-85.6211
44.74941,-85.62079
44.7171,-85.6343
44.71495,-85.55542
44.62605,-85.52852
44.58523,-85.52935
44.57688,-85.34717
44.74456,-85.64424
44.75046,-85.64401
44.75314,-85.64304
44.75469,-85.64271
44.75694,-85.63969
44.75979,-85.63962
44.7613,-85.63957
44.76395,-85.63608
44.76396,-85.63312
44.76488,-85.62775
44.76278,-85.62519
44.76281,-85.62296
44.7628,-85.62011
44.76283,-85.61768
44.76419,-85.61346
44.76428,-85.60574
44.76411,-85.60074
44.76431,-85.59456
44.76133,-85.58364
44.75907,-85.57951
44.75421,-85.57204
44.7491,-85.57231
44.74682,-85.56409
44.74947,-85.55966
44.74777,-85.5517
44.74622,-85.54424
44.74548,-85.54132
44.74577,-85.53654
44.74768,-85.52596
44.74627,-85.5312
44.74599,-85.53582
44.74564,-85.54064
44.74622,-85.54424
44.75341,-85.57998
44.75461,-85.57761
44.76148,-85.58365
44.76423,-85.59914
44.76413,-85.61763
44.76419,-85.62131
44.76411,-85.6327
44.7641,-85.63624
44.76096,-85.63976
44.75977,-85.63983
44.75636,-85.63998
44.75484,-85.64276
44.75032,-85.64412
44.65332,-85.53324
44.71495,-85.5553
44.74941,-85.62079
44.75683,-85.62105
44.75877,-85.59966
44.7361,-85.59511
44.73661,-85.58062
44.73346,-85.56646
44.74752,-85.55155
44.74598,-85.54424
44.74583,-85.53483
44.74768,-85.52596
44.77352,-85.49873
44.7786,-85.48684
44.77142,-85.47777
44.77455,-85.42344
44.77477,-85.42084
44.77393,-85.42038
44.74599,-85.53582
44.74777,-85.5517
44.73335,-85.57195
44.75896,-85.59994
44.75706,-85.63495
44.74308,-85.65185
44.66829,-85.6572
44.65664,-85.69534
44.65839,-85.76908
44.62935,-85.7671
44.7568,-85.63466
