osm_id,code,fclass,name,point_x,point_y,lon,lat
353915781,2082,school,Becker School,-85.7786283000,42.4014242000,-85.77863,42.40142
353918976,2082,school,Chambers School,-86.1975285000,42.4044761000,-86.19753,42.40448
353921065,2082,school,Columbia School,-86.0469704000,42.3975339000,-86.04697,42.39753
353947031,2082,school,Lannin School,-86.2397513000,42.4028089000,-86.23975,42.40281
353948257,2082,school,Locota School,-86.1303054000,42.4050326000,-86.13031,42.40503
353955225,2082,school,Munn School,-85.9236333000,42.3903128000,-85.92363,42.39031
353961433,2082,school,Pine Grove School,-85.7786291000,42.4175350000,-85.77863,42.41754
353982668,2082,school,Wager School,-85.8977996000,42.4036459000,-85.8978,42.40365
354002009,2082,school,Healy School,-85.9372455000,42.4050346000,-85.93725,42.40503
354016586,2082,school,Gobles Junior Academy,-85.8636111000,42.3977778000,-85.86361,42.39778
4381516783,2303,cafe,Subs N More,-86.2723124000,42.4036490000,-86.27231,42.40365
4381516788,2303,cafe,The Living Room,-86.2731154000,42.4031467000,-86.27312,42.40315
353913379,2082,school,Acorn School,-85.8644579000,42.2453163000,-85.86446,42.24532
353913425,2082,school,Adams School,-85.7730595000,42.1125422000,-85.77306,42.11254
353914205,2082,school,Almena School,-85.8344574000,42.2622603000,-85.83446,42.26226
353914660,2082,school,Antwerp School,-85.8036189000,42.1708739000,-85.80362,42.17087
353917327,2082,school,Brown School,-85.8616857000,42.3725356000,-85.86169,42.37254
353918882,2082,school,Chamberlain School,-85.8516750000,42.1344860000,-85.85168,42.13449
353920816,2082,school,Cobbtown School,-85.8050156000,42.3450364000,-85.80502,42.34504
353928658,2082,school,Durkee School,-85.8522327000,42.1861513000,-85.85223,42.18615
353944241,2082,school,Johnstown School,-85.8333485000,42.3105927000,-85.83335,42.31059
353945087,2082,school,Kinney School,-85.7836145000,42.0903206000,-85.78361,42.09032
353951413,2082,school,Maxam School,-85.8116707000,42.0769876000,-85.81167,42.07699
353953634,2082,school,Moore School,-85.7794568000,42.2975374000,-85.77946,42.29754
353959552,2082,school,Old Pine Grove School,-85.8439057000,42.3364254000,-85.84391,42.33643
353960400,2082,school,Palmer School,-85.8047343000,42.2689269000,-85.80473,42.26893
353961525,2082,school,Porter Center School,-85.8277837000,42.1036535000,-85.82778,42.10365
353961917,2082,school,Quail Trap School,-85.8033503000,42.3761468000,-85.80335,42.37615
353962283,2082,school,Richmond School,-85.8250112000,42.2289279000,-85.82501,42.22893
353971980,2082,school,School Number 8,-85.8225067000,42.1272640000,-85.82251,42.12726
353974993,2082,school,Solomon School,-85.8300138000,42.2836488000,-85.83001,42.28365
353977346,2082,school,Steeple School,-85.8636236000,42.2228169000,-85.86362,42.22282
353981822,2082,school,Turner School,-85.7855614000,42.1430969000,-85.78556,42.1431
3763401846,2303,cafe,East Egg,-85.7840753000,42.2142733000,-85.78408,42.21427
353915918,2082,school,Bell School,-86.0952928000,42.0847649000,-86.09529,42.08476
353918090,2082,school,Celery Center School,-86.0347356000,42.0828207000,-86.03474,42.08282
353935789,2082,school,Gregory School,-86.1661278000,42.0844869000,-86.16613,42.08449
353939102,2082,school,Hill School,-86.1272379000,42.0819871000,-86.12724,42.08199
353973337,2082,school,Shaw School,-85.9061196000,42.0833763000,-85.90612,42.08338
353994988,2082,school,West Valley School,-85.9547324000,42.0736544000,-85.95473,42.07365
354002016,2082,school,Field School,-86.0705700000,42.0853206000,-86.07057,42.08532
354032083,2082,school,Sister Lakes Academy,-86.2027778000,42.0852778000,-86.20278,42.08528
945125826,2501,supermarket,Myer's SuperValu,-86.2032077000,42.0860604000,-86.20321,42.08606
353913320,2082,school,Abbott School,-86.1289067000,42.1400408000,-86.12891,42.14004
353913372,2082,school,Ackley School,-86.1103028000,42.3458679000,-86.1103,42.34587
353914101,2082,school,Allen School,-86.0127960000,42.2139282000,-86.0128,42.21393
353914823,2082,school,Arlington Center School,-86.0527999000,42.2936478000,-86.0528,42.29365
353914826,2082,school,Arlington Heights School,-86.0508540000,42.2583710000,-86.05085,42.25837
353914983,2082,school,Austin School,-85.8961275000,42.2811488000,-85.89613,42.28115
353915141,2082,school,Baker School,-86.1275170000,42.1178194000,-86.12752,42.11782
353915350,2082,school,Bangor Center School,-86.1661348000,42.2872580000,-86.16613,42.28726
353915463,2082,school,Barnes School,-86.0716871000,42.2436491000,-86.07169,42.24365
353915485,2082,school,Barnum School,-85.9266815000,42.2125394000,-85.92668,42.21254
353915633,2082,school,Beachwood School,-85.9352989000,42.3544802000,-85.9353,42.35448
353915934,2082,school,Bell School,-85.9086302000,42.3314253000,-85.90863,42.33143
353916997,2082,school,Braybrooks School,-86.0708510000,42.1717069000,-86.07085,42.17171
353917019,2082,school,Brague School,-86.1952976000,42.1564289000,-86.1953,42.15643
353917035,2082,school,Brandywine School,-85.8783512000,42.3305921000,-85.87835,42.33059
353917228,2082,school,Bronson School,-86.0930815000,42.3750339000,-86.09308,42.37503
353917329,2082,school,Brown School,-86.1289085000,42.1922614000,-86.12891,42.19226
353920130,2082,school,Clapp School,-85.9002922000,42.2300389000,-85.90029,42.23004
353922176,2082,school,Corwin School,-86.0902951000,42.1494851000,-86.0903,42.14949
353923212,2082,school,Cross School,-85.9958529000,42.2572604000,-85.99585,42.25726
353925241,2082,school,Dayton School,-85.9083512000,42.3028149000,-85.90835,42.30281
353926846,2082,school,Deerlick School,-86.2833620000,42.3736429000,-86.28336,42.37364
353928872,2082,school,East Decatur School,-85.9258451000,42.1411525000,-85.92585,42.14115
353929117,2082,school,East Valley School,-85.8936204000,42.1164310000,-85.89362,42.11643
353930315,2082,school,Evergreen School,-85.9761334000,42.3458692000,-85.97613,42.34587
353931474,2082,school,Fish School,-86.3008581000,42.2575357000,-86.30086,42.25754
353933221,2082,school,Gliddenberg School,-85.9850186000,42.2442052000,-85.98502,42.24421
353933282,2082,school,Garden of Eden School,-86.0236336000,42.3161475000,-86.02363,42.31615
353935004,2082,school,Geneva Center School,-86.1686381000,42.3755886000,-86.16864,42.37559
353937882,2082,school,Hayden School,-86.0902941000,42.1225416000,-86.09029,42.12254
353937940,2082,school,Hawley School,-86.2125237000,42.2644805000,-86.21252,42.26448
353938881,2082,school,Hicks School,-86.0125205000,42.2717044000,-86.01252,42.2717
353939599,2082,school,Hogmire School,-86.0725229000,42.3069805000,-86.07252,42.30698
353942055,2082,school,Hyde School,-86.1086312000,42.2155942000,-86.10863,42.21559
353943435,2082,school,Jericho School,-86.2058598000,42.3458668000,-86.20586,42.34587
353944246,2082,school,Johnstown School,-86.1486361000,42.3283680000,-86.14864,42.32837
353944283,2082,school,Johnson School,-86.1380747000,42.1719842000,-86.13807,42.17198
353945453,2082,school,Lafler School,-86.1536368000,42.3467008000,-86.15364,42.3467
353946586,2082,school,Lakeside School,-86.0233859000,42.3495958000,-86.02339,42.3496
353946595,2082,school,Lamphere School,-86.0758522000,42.2005948000,-86.07585,42.20059
353946783,2082,school,Lakeview School,-85.9369625000,42.2800376000,-85.93696,42.28004
353946851,2082,school,Law School,-86.2683613000,42.3603102000,-86.26836,42.36031
353946949,2082,school,Lee School,-85.9366808000,42.1855958000,-85.93668,42.1856
353946987,2082,school,Lee School,-86.0525235000,42.3314246000,-86.05252,42.33142
353947004,2082,school,Lee School,-86.0111260000,42.1347637000,-86.01113,42.13476
353949132,2082,school,Lyle School,-85.9658484000,42.1792070000,-85.96585,42.17921
353951810,2082,school,McWilliams School,-85.9655692000,42.1436524000,-85.96557,42.14365
353952860,2082,school,Miles School,-86.1252987000,42.2300380000,-86.1253,42.23004
353953384,2082,school,Monroe School,-86.0327976000,42.2444827000,-86.0328,42.24448
353955688,2082,school,Myers School,-85.9069628000,42.3175368000,-85.90696,42.31754
353955778,2082,school,Nesbit School,-86.0647388000,42.1467076000,-86.06474,42.14671
353958199,2082,school,North Bell School,-86.1850203000,42.1797614000,-86.18502,42.17976
353958243,2082,school,North Mill School,-86.2419704000,42.3158674000,-86.24197,42.31587
353959791,2082,school,Ormsby School,-85.9564011000,42.1200420000,-85.9564,42.12004
353959859,2082,school,Orton School,-86.0722440000,42.2794813000,-86.07224,42.27948
353961214,2082,school,Plopper School,-85.9930721000,42.1853180000,-85.99307,42.18532
353962605,2082,school,Riverside School,-85.9083493000,42.2586493000,-85.90835,42.25865
353962659,2082,school,River Valley School,-85.9364057000,42.2508717000,-85.93641,42.25087
353963344,2082,school,Saddle Lake School,-86.0530806000,42.3683679000,-86.05308,42.36837
353963958,2082,school,Rowlee School,-86.0402926000,42.1136531000,-86.04029,42.11365
353964085,2082,school,Riverside School,-86.2066943000,42.3753103000,-86.20669,42.37531
353964508,2082,school,Rush Lake School,-86.2047447000,42.2328151000,-86.20474,42.23282
353972626,2082,school,School Number 3,-86.0319616000,42.1805957000,-86.03196,42.1806
353972845,2082,school,Scott School,-85.9752995000,42.3317030000,-85.9753,42.3317
353972933,2082,school,Shafer School,-86.1077968000,42.1864284000,-86.1078,42.18643
353973557,2082,school,Sheldon School,-86.1303043000,42.3761445000,-86.1303,42.37614
353975418,2082,school,South Bell School,-86.1947411000,42.1289298000,-86.19474,42.12893
353976479,2082,school,Speicher School,-85.9475207000,42.3325363000,-85.94752,42.33254
353978997,2082,school,Sykes School,-86.2044628000,42.1078194000,-86.20446,42.10782
353979127,2082,school,Swamp School,-86.0141896000,42.3314250000,-86.01419,42.33142
353980009,2082,school,Thomas School,-86.2008546000,42.2003162000,-86.20085,42.20032
353982073,2082,school,Van Auken School,-86.1669670000,42.2578145000,-86.16697,42.25781
353983844,2082,school,Webster School,-86.1272439000,42.2505929000,-86.12724,42.25059
353984517,2082,school,West Gate School,-86.2425271000,42.3455887000,-86.24253,42.34559
353984753,2082,school,White Oak School,-85.8886223000,42.1661518000,-85.88862,42.16615
353984770,2082,school,West Brick School,-86.2164142000,42.3072569000,-86.21641,42.30726
353985164,2082,school,Wilder School,-86.1650185000,42.1392074000,-86.16502,42.13921
353985219,2082,school,Wildey School,-85.9575163000,42.2178171000,-85.95752,42.21782
354001968,2082,school,Code School,-86.0047356000,42.0994869000,-86.00474,42.09949
354012888,2082,school,Wood School,-86.1869444000,42.3086111000,-86.18694,42.30861
354016669,2082,school,Woodside School,-86.1611111000,42.2027778000,-86.16111,42.20278
354016738,2082,school,Van Buren Skills Center,-86.0472222000,42.2125000000,-86.04722,42.2125
354017585,2082,school,Seventh-Day Adventist School,-86.1811111000,42.2097222000,-86.18111,42.20972
843524043,2501,supermarket,DeGrandchamp Farms,-86.2847397000,42.3666687000,-86.28474,42.36667
