name,address,lat,lon
,"7901 NORTH 6TH ST KALAMAZOO, MI 49009",42.37358,-85.70778
,"7925 N. 6TH STREET KALAMAZOO, MI 49009",42.37441,-85.70855
,"7520 EAST U AVENUE VICKSBURG, MI 49097",42.14332,-85.47988
,"13123 SOUTH 24TH ST VICKSBURG, MI 49097",42.11031,-85.52854
,"1499 SOUTH 38TH ST GALESBURG, MI 49053",42.27577,-85.39977
,"110 N. MAIN ST. CLIMAX, MI 49034",42.23855,-85.33563
,"6330 KING HIGHWAY KALAMAZOO, MI 49048",42.28758,-85.50542
,"5300 COMSTOCK AVE KALAMAZOO, MI 49048",42.28285,-85.52595
,"2435 N 26TH STREET KALAMAZOO, MI 49048",42.31107,-85.51971
,"6536 EAST G AVE KALAMAZOO, MI 49048",42.33165,-85.50014
,"5841 EAST H AVENUE KALAMAZOO, MI 49048",42.31808,-85.51544
,"10100 SHADOWLANE AVE GALESBURG, MI 49053",42.28204,-85.43174
,"8824 DOUGLAS AVENUE KALAMAZOO, MI 49009",42.38865,-85.60972
,"1590 WEST D AVE KALAMAZOO, MI 49009",42.37682,-85.60915
,"3160 MCKINLEY KALAMAZOO, MI 49004",42.34955,-85.55154
,"5701 MT OLIVET RD KALAMAZOO, MI 49004",42.342,-85.55208
,"5001 COOPERS LANDING DRIVE KALAMAZOO, MI 49004",42.33536,-85.53419
,"200 E MICHIGAN AVE GALESBURG, MI 49053",42.28869,-85.41301
,"3530 MT. OLIVET ROAD KALAMAZOO, MI 49004",42.32605,-85.54476
,"3919 PORTAGE ST KALAMAZOO, MI 49001",42.2525,-85.56004
,"1922 W MICHIGAN AVE KALAMAZOO, MI 49008",42.28506,-85.61207
,"326 W CORK STREET KALAMAZOO, MI 49001",42.25987,-85.58669
,"601 W MAPLE ST KALAMAZOO, MI 49008",42.27193,-85.59232
,"1000 W PATERSON KALAMAZOO, MI 49007",42.3038,-85.59794
,"120 ROBERSON KALAMAZOO, MI 49007",42.30116,-85.58311
,"1301 E MAIN ST KALAMAZOO, MI 49001",42.2962,-85.56368
,"212 S PARK STREET KALAMAZOO, MI 49007",42.29035,-85.58782
,"930 LAKE ST KALAMAZOO, MI 49001",42.28007,-85.56821
,"2321 S PARK STREET KALAMAZOO, MI 49001",42.26768,-85.58681
,"932 BOSWELL LANE KALAMAZOO, MI 49006",42.28224,-85.63498
,"4100 OAKLAND DRIVE KALAMAZOO, MI 49008",42.24907,-85.61494
,"2316 WINCHELL AVENUE KALAMAZOO, MI 49008",42.26784,-85.61819
,"3707 GREENLEAF CIRCLE KALAMAZOO, MI 49008",42.25461,-85.63108
,"1400 N. DRAKE ROAD - KIVA KALAMAZOO, MI 49006",42.30554,-85.64541
,"1919 PORTAGE STREET KALAMAZOO, MI 49001",42.27271,-85.5707
,"3306 LOVERS LN KALAMAZOO, MI 49001",42.2586,-85.56783
,"4141 E. HILLANDALE KALAMAZOO, MI 49008",42.24923,-85.59887
,"3100 LAKE ST KALAMAZOO, MI 49001",42.27879,-85.54203
,"811 GORHAM LN KALAMAZOO, MI 49006",42.29943,-85.6365
,"538 NICHOLS RD KALAMAZOO, MI 49006",42.2973,-85.62795
,"1310 NICHOLS RD KALAMAZOO, MI 49006",42.30373,-85.62831
,"2617 N BURDICK KALAMAZOO, MI 49007",42.31776,-85.58432
,"2703 E MAIN ST KALAMAZOO, MI 49001",42.30357,-85.54645
,"3015 NICHOLS RD KALAMAZOO, MI 49006",42.32101,-85.62978
,"1112 GAYLE AVE KALAMAZOO, MI 49048",42.30222,-85.54589
,"2800 GULL RD KALAMAZOO, MI 49048",42.312,-85.54468
,"609 CHEROKEE ST KALAMAZOO, MI 49006",42.2977,-85.63437
,"3234 N 3RD KALAMAZOO, MI 49009",42.31745,-85.7352
,"2345 N. 10TH ST KALAMAZOO, MI 49009",42.3104,-85.66853
,"7265 WEST MAIN STREET KALAMAZOO, MI 49009",42.2943,-85.69101
,"6339 ATLANTIC (FELLOWSHIP HALL) KALAMAZOO, MI 49009",42.25748,-85.67389
,"454 S. DRAKE RD. KALAMAZOO, MI 49009",42.28734,-85.64984
,"6407 PARKVIEW AVENUE KALAMAZOO, MI 49009",42.25946,-85.67587
,"7275 W MAIN ST KALAMAZOO, MI 49009",42.29525,-85.69252
,"3500 SOUTH 6TH ST KALAMAZOO, MI 49009",42.25506,-85.70828
,"6574 STADIUM DRIVE KALAMAZOO, MI 49009",42.25909,-85.67886
,"650 S RIVERVIEW DR KALAMAZOO, MI 49004",42.32031,-85.57082
,"9286 S. 36TH ST. SCOTTS, MI 49088",42.18296,-85.41378
,"7510 EAST Q AVE SCOTTS, MI 49088",42.20072,-85.48102
,"10442 SPRINKLE RD VICKSBURG, MI 49097",42.16286,-85.52867
,"4795 E. MILHAM AVENUE PORTAGE, MI 49002",42.23074,-85.53151
,"320 LIBRARY LANE PORTAGE, MI 49002",42.20304,-85.58726
,"9420 PORTAGE ROAD PORTAGE, MI 49002",42.18006,-85.56715
,"8305 S WESTNEDGE AVENUE PORTAGE, MI 49002",42.19671,-85.58856
,"8740 S. WESTNEDGE AVENUE PORTAGE, MI 49002",42.18944,-85.5895
,"1819 EAST MILHAM RD PORTAGE, MI 49002",42.23149,-85.56856
,"7028 OAKLAND DRIVE PORTAGE, MI 49024",42.21502,-85.61474
