name,address,lat,lon
,"12014 S BANCROFT RD. MORRICE, MI 48857",42.82073,-84.07122
,"5849 S M-52 OWOSSO, MI 48867",42.90881,-84.22123
,"10355 BATH RD., P. O. BOX 397 BYRON, MI 48418",42.82421,-83.95708
,"135 N STATE RD OWOSSO, MI 48867",42.99988,-84.11956
,"457 EMMA DR CORUNNA, MI 48817",42.98348,-84.1239
,"215 W. CLINTON ST. DURAND, MI 48429",42.91218,-83.98689
,"7988 W. HENDERSON RD. ELSIE, MI 48831",43.08574,-84.32424
,"9285 EASTON RD NEW LOTHROP, MI 48460",43.11724,-83.98421
,"7425 WOODBURY ROAD LAINGSBURG, MI 48848",42.884,-84.33983
,"7627 W M-21 OVID, MI 48866",42.99857,-84.31386
,"2705 E. EASTON RD. OWOSSO, MI 48867",43.11365,-84.11883
,"3027 S. WARNER RD. SUMNER SUMNER, MI 48889",43.24829,-84.77727
,"600 WEST OLIVER ST OWOSSO, MI 48867",43.00276,-84.17821
,"515 EAST OLIVER ST OWOSSO, MI 48867",43.00285,-84.16363
,"645 ALGER AVE OWOSSO, MI 48867",42.98706,-84.16045
,"925 HAMPTON AVE OWOSSO, MI 48867",42.98637,-84.18349
,"410 S. DELANEY RD OWOSSO, MI 48867",42.99181,-84.20648
,"2002 N. M-52 OWOSSO, MI 48867",42.52576,-84.19129
,"203 W. POLLY ST. PERRY, MI 48872",42.82722,-84.22088
,"2770 W. ELLSWORTH RD. PERRY, MI 48872",42.81275,-84.21376
,"202 S. WEST STREET HENDERSON, MI 48841",43.08726,-84.19467
,"3990 LELAND RD. LAINGSBURG, MI 48848",42.9347,-84.32883
,"3719 E GRAND RIVER RD BANCROFT, MI 48414",42.8705,-84.0536
,"960 NEW LOTHROP RD. LENNON, MI 48449",42.9851,-83.96732
,"6801 S DURAND ROAD DURAND, MI 48429",42.89894,-83.98629
,"316 MAIN, VERNON, MICHIGAN 48476 VERNON, MI 48476",42.9389,-84.02825
,"7315 W BEARD RD PERRY, MI 48872",42.80441,-84.29768
